building_id,mode,period_s,PhiRoof_X,PhiRoof_Y,Ln_X,Ln_Y,PF_X,PF_Y,Alpha_X,Alpha_Y
OFF-01,2y,0.100426,0.000000,-0.627685,0.000000,55993.459544,0.000000,0.430870,0.000000,0.090575
OFF-02,1x,0.358221,1.000000,0.000000,207822.035049,0.000000,1.252884,0.000000,0.728710,0.000000
OFF-02,2x,0.127238,0.814999,0.000000,-72586.279725,0.000000,-0.433015,0.000000,0.087965,0.000000
OFF-02,1y,0.365425,0.000000,-1.000000,0.000000,-201751.046271,0.000000,-1.270797,0.000000,0.717537
OFF-02,2y,0.130977,0.000000,0.814532,0.000000,-79766.105044,0.000000,-0.461189,0.000000,0.102955
OFF-03,1x,0.253200,1.000000,0.000000,228107.571175,0.000000,1.236079,0.000000,0.711532,0.000000
OFF-03,2x,0.097187,0.659375,0.000000,-78820.586803,0.000000,-0.396958,0.000000,0.078957,0.000000
OFF-03,1y,0.261626,0.000000,1.000000,0.000000,223850.620258,0.000000,1.249556,0.000000,0.705867
OFF-03,2y,0.101995,0.000000,0.628999,0.000000,-83914.528844,0.000000,-0.432757,0.000000,0.091641
OFF-04,1x,0.353177,1.000000,0.000000,308418.286099,0.000000,1.258138,0.000000,0.730222,0.000000
OFF-04,2x,0.126262,-0.815095,0.000000,110306.061306,0.000000,0.440434,0.000000,0.091425,0.000000
OFF-04,1y,0.371066,0.000000,-1.000000,0.000000,-300263.500423,0.000000,-1.271448,0.000000,0.718435
OFF-04,2y,0.133013,0.000000,-0.812792,0.000000,119081.610888,0.000000,0.463608,0.000000,0.103892
OFF-05,1x,0.342572,1.000000,0.000000,165226.481820,0.000000,1.110784,0.000000,0.689026,0.000000
OFF-05,2x,0.103054,-0.800961,0.000000,31484.467925,0.000000,0.211058,0.000000,0.024947,0.000000
OFF-05,1y,0.335724,0.000000,-1.000000,0.000000,-162664.975682,0.000000,-1.164407,0.000000,0.711090
OFF-05,2y,0.107277,0.000000,0.781845,0.000000,-33727.672300,0.000000,-0.231335,0.000000,0.029292
OFF-06,1x,0.451549,1.000000,0.000000,230590.060774,0.000000,1.152265,0.000000,0.743610,0.000000
OFF-06,2x,0.139359,-0.851942,0.000000,45415.387792,0.000000,0.281183,0.000000,0.035739,0.000000
OFF-06,1y,0.449202,0.000000,1.000000,0.000000,224428.381369,0.000000,1.203713,0.000000,0.756054
OFF-06,2y,0.145354,0.000000,0.840846,0.000000,-49900.600060,0.000000,-0.312439,0.000000,0.043634
OFF-07,1x,0.341657,1.000000,0.000000,246160.845254,0.000000,1.105790,0.000000,0.686911,0.000000
OFF-07,2x,0.102999,-0.805215,0.000000,46414.736560,0.000000,0.208657,0.000000,0.024440,0.000000
OFF-07,1y,0.367925,0.000000,1.000000,0.000000,245844.715143,0.000000,1.145274,0.000000,0.710525
OFF-07,2y,0.110117,0.000000,-0.813515,0.000000,44172.034971,0.000000,0.198093,0.000000,0.022081
OFF-08,1x,0.449787,1.000000,0.000000,343651.265916,0.000000,1.146390,0.000000,0.741374,0.000000
OFF-08,2x,0.138961,-0.852695,0.000000,66676.532896,0.000000,0.278217,0.000000,0.034909,0.000000
OFF-08,1y,0.486263,0.000000,1.000000,0.000000,341919.726980,0.000000,1.183960,0.000000,0.761812
OFF-08,2y,0.150596,0.000000,-0.856806,0.000000,65405.238918,0.000000,0.274412,0.000000,0.033775
OFF-09,1x,0.159782,1.000000,0.000000,103222.810404,0.000000,1.128473,0.000000,0.661338,0.000000
OFF-09,2x,0.051300,0.173778,0.000000,-72762.875062,0.000000,-0.801476,0.000000,0.331098,0.000000
OFF-09,1y,0.156781,0.000000,-1.000000,0.000000,-104723.122890,0.000000,-1.148064,0.000000,0.682599
